Time	Amplitude
1,544600000E+3	5,154655070E-2
1,544600050E+3	4,816259468E-2
1,544600100E+3	4,542320174E-2
1,544600150E+3	4,735689087E-2
1,544600200E+3	4,622890555E-2
1,544600250E+3	4,236152732E-2
1,544600300E+3	4,510092023E-2
1,544600350E+3	4,493977947E-2
1,544600400E+3	4,461749795E-2
1,544600450E+3	4,413407567E-2
1,544600500E+3	4,381179415E-2
1,544600550E+3	3,978327520E-2
1,544600600E+3	3,994441596E-2
1,544600650E+3	4,397293491E-2
1,544600700E+3	4,203924580E-2
1,544600750E+3	4,381179415E-2
1,544600800E+3	3,978327520E-2
1,544600850E+3	3,946099369E-2
1,544600900E+3	4,123354201E-2
1,544600950E+3	4,252266808E-2
1,544601000E+3	4,075011974E-2
1,544601050E+3	4,139468277E-2
1,544601100E+3	4,139468277E-2
1,544601150E+3	3,833300839E-2
1,544601200E+3	3,962213444E-2
1,544601250E+3	3,881643066E-2
1,544601300E+3	4,268380884E-2
1,544601350E+3	4,381179415E-2
1,544601400E+3	3,994441596E-2
1,544601450E+3	3,962213444E-2
1,544601500E+3	4,300609035E-2
1,544601550E+3	3,929985293E-2
1,544601600E+3	4,042783823E-2
1,544601650E+3	4,236152732E-2
1,544601700E+3	4,300609035E-2
1,544601750E+3	4,365065339E-2
1,544601800E+3	4,397293491E-2
1,544601850E+3	4,252266808E-2
1,544601900E+3	4,526206098E-2
1,544601950E+3	4,139468277E-2
1,544602000E+3	4,413407567E-2
1,544602050E+3	4,155582353E-2
1,544602100E+3	4,622890555E-2
1,544602150E+3	4,284494960E-2
1,544602200E+3	4,816259468E-2
1,544602250E+3	4,493977947E-2
1,544602300E+3	5,364138063E-2
1,544602350E+3	4,800145392E-2
1,544602400E+3	4,558434251E-2
1,544602450E+3	4,671232783E-2
1,544602500E+3	4,735689087E-2
1,544602550E+3	4,816259468E-2
1,544602600E+3	5,348023987E-2
1,544602650E+3	5,348023987E-2
1,544602700E+3	5,557506982E-2
1,544602750E+3	5,202997299E-2
1,544602800E+3	5,444708446E-2
1,544602850E+3	5,670305518E-2
1,544602900E+3	5,509164752E-2
1,544602950E+3	6,363210824E-2
1,544603000E+3	5,960358900E-2
1,544603050E+3	6,588807905E-2
1,544603100E+3	6,443781210E-2
1,544603150E+3	6,443781210E-2
1,544603200E+3	6,653264214E-2
1,544603250E+3	6,814404987E-2
1,544603300E+3	6,894975374E-2
1,544603350E+3	7,652337024E-2
1,544603400E+3	7,652337024E-2
1,544603450E+3	7,845705959E-2
1,544603500E+3	7,942390427E-2
1,544603550E+3	8,474155010E-2
1,544603600E+3	8,425812774E-2
1,544603650E+3	9,150946312E-2
1,544603700E+3	9,505456050E-2
1,544603750E+3	9,344315260E-2
1,544603800E+3	8,812550659E-2
1,544603850E+3	1,015001922E-1
1,544603900E+3	1,189033988E-1
1,544603950E+3	9,650482762E-2
1,544604000E+3	1,077846833E-1
1,544604050E+3	1,140691746E-1
1,544604100E+3	1,151971602E-1
1,544604150E+3	1,129411890E-1
1,544604200E+3	1,184199763E-1
1,544604250E+3	1,256713128E-1
1,544604300E+3	1,317946637E-1
1,544604350E+3	1,345340576E-1
1,544604400E+3	1,330837902E-1
1,544604450E+3	1,445247886E-1
1,544604500E+3	1,606388718E-1
1,544604550E+3	1,546766608E-1
1,544604600E+3	1,640228294E-1
1,544604650E+3	1,554823650E-1
1,544604700E+3	1,577383367E-1
1,544604750E+3	1,670845054E-1
1,544604800E+3	2,060805932E-1
1,544604850E+3	1,970567044E-1
1,544604900E+3	2,041469027E-1
1,544604950E+3	1,957675775E-1
1,544605000E+3	2,328299803E-1
1,544605050E+3	2,426595754E-1
1,544605100E+3	2,568399757E-1
1,544605150E+3	2,660250084E-1
1,544605200E+3	3,211352152E-1
1,544605250E+3	2,764991691E-1
1,544605300E+3	3,470789157E-1
1,544605350E+3	3,805962498E-1
1,544605400E+3	3,416001214E-1
1,544605450E+3	3,707666462E-1
1,544605500E+3	4,099239236E-1
1,544605550E+3	4,144358739E-1
1,544605600E+3	5,228838714E-1
1,544605650E+3	5,594629356E-1
1,544605700E+3	6,028099478E-1
1,544605750E+3	5,992648384E-1
1,544605800E+3	7,293059791E-1
1,544605850E+3	7,799044382E-1
1,544605900E+3	7,768427472E-1
1,544605950E+3	9,457193410E-1
1,544606000E+3	8,641815535E-1
1,544606050E+3	8,925425137E-1
1,544606100E+3	1,080111852E+0
1,544606150E+3	1,045466277E+0
1,544606200E+3	1,196940083E+0
1,544606250E+3	1,296526244E+0
1,544606300E+3	1,435431488E+0
1,544606350E+3	1,379353693E+0
1,544606400E+3	1,436076061E+0
1,544606450E+3	1,287985677E+0
1,544606500E+3	1,370813114E+0
1,544606550E+3	1,422056607E+0
1,544606600E+3	1,466693272E+0
1,544606650E+3	1,383704554E+0
1,544606700E+3	1,327949095E+0
1,544606750E+3	1,267520549E+0
1,544606800E+3	1,404330865E+0
1,544606850E+3	1,251406281E+0
1,544606900E+3	1,225945744E+0
1,544606950E+3	1,234647446E+0
1,544607000E+3	1,228524026E+0
1,544607050E+3	1,316507952E+0
1,544607100E+3	1,220789181E+0
1,544607150E+3	1,164711585E+0
1,544607200E+3	1,063675345E+0
1,544607250E+3	1,012109855E+0
1,544607300E+3	8,712717926E-1
1,544607350E+3	9,052727207E-1
1,544607400E+3	8,235738318E-1
1,544607450E+3	8,582193074E-1
1,544607500E+3	8,300195006E-1
1,544607550E+3	7,652405507E-1
1,544607600E+3	7,421973036E-1
1,544607650E+3	6,081276123E-1
1,544607700E+3	7,863501038E-1
1,544607750E+3	6,448678464E-1
1,544607800E+3	6,123172874E-1
1,544607850E+3	5,420596790E-1
1,544607900E+3	4,685792904E-1
1,544607950E+3	4,946841602E-1
1,544608000E+3	4,294219959E-1
1,544608050E+3	3,934875342E-1
1,544608100E+3	3,635152997E-1
1,544608150E+3	3,950989448E-1
1,544608200E+3	2,924521228E-1
1,544608250E+3	3,106610516E-1
1,544608300E+3	2,512000436E-1
1,544608350E+3	2,582902440E-1
1,544608400E+3	2,486217890E-1
1,544608450E+3	2,159101868E-1
1,544608500E+3	2,241283720E-1
1,544608550E+3	1,914167741E-1
1,544608600E+3	1,620891393E-1
1,544608650E+3	1,701461814E-1
1,544608700E+3	1,606388718E-1
1,544608750E+3	1,401739863E-1
1,544608800E+3	1,662788012E-1
1,544608850E+3	1,324392270E-1
1,544608900E+3	1,296998331E-1
1,544608950E+3	1,256713128E-1
1,544609000E+3	1,177754131E-1
1,544609050E+3	1,082681057E-1
1,544609100E+3	1,135857522E-1
1,544609150E+3	1,013390514E-1
1,544609200E+3	9,440999734E-2
1,544609250E+3	9,312087102E-2
1,544609300E+3	8,764208423E-2
1,544609350E+3	8,216329756E-2
1,544609400E+3	7,942390427E-2
1,544609450E+3	7,668451101E-2
1,544609500E+3	7,185028769E-2
1,544609550E+3	7,185028769E-2
1,544609600E+3	6,894975374E-2
1,544609650E+3	6,943317606E-2
1,544609700E+3	6,685492368E-2
1,544609750E+3	6,492123441E-2
1,544609800E+3	5,863674439E-2
1,544609850E+3	6,169841900E-2
1,544609900E+3	5,944244823E-2
1,544609950E+3	5,750875902E-2
1,544610000E+3	6,073157438E-2
1,544610050E+3	5,605849212E-2
1,544610100E+3	5,122426917E-2
1,544610150E+3	5,541392905E-2
1,544610200E+3	5,122426917E-2
1,544610250E+3	5,074084688E-2
1,544610300E+3	5,025742459E-2
1,544610350E+3	4,477863871E-2
1,544610400E+3	4,848487620E-2
1,544610450E+3	4,091126050E-2
1,544610500E+3	4,445635719E-2
1,544610550E+3	4,397293491E-2
1,544610600E+3	4,236152732E-2
1,544610650E+3	4,510092023E-2
1,544610700E+3	4,671232783E-2
1,544610750E+3	3,752730461E-2
1,544610800E+3	4,091126050E-2
1,544610850E+3	3,704388235E-2
1,544610900E+3	3,817186764E-2
1,544610950E+3	3,478791178E-2
1,544611000E+3	3,365992651E-2
1,544611050E+3	3,462677103E-2
1,544611100E+3	3,543247480E-2
1,544611150E+3	3,446563027E-2
1,544611200E+3	3,527133404E-2
1,544611250E+3	3,349878575E-2
1,544611300E+3	3,494905254E-2
1,544611350E+3	3,688274159E-2
1,544611400E+3	3,204851898E-2
1,544611450E+3	2,914798545E-2
1,544611500E+3	3,092053371E-2
1,544611550E+3	2,995368920E-2
1,544611600E+3	2,914798545E-2
1,544611650E+3	2,850342244E-2
1,544611700E+3	2,850342244E-2
1,544611750E+3	2,737543719E-2
1,544611800E+3	2,802000019E-2
1,544611850E+3	2,592517045E-2
1,544611900E+3	2,640859269E-2
1,544611950E+3	2,592517045E-2
1,544612000E+3	2,415262221E-2
1,544612050E+3	2,286349623E-2
1,544612100E+3	2,511946670E-2
1,544612150E+3	2,286349623E-2
1,544612200E+3	2,463604446E-2
1,544612250E+3	2,350805922E-2
1,544612300E+3	2,205779249E-2
1,544612350E+3	2,221893324E-2
1,544612400E+3	2,141322951E-2
1,544612450E+3	2,205779249E-2
1,544612500E+3	2,060752578E-2
1,544612550E+3	1,996296279E-2
1,544612600E+3	2,141322951E-2
1,544612650E+3	2,173551100E-2
1,544612700E+3	1,867383683E-2
1,544612750E+3	1,996296279E-2
1,544612800E+3	1,883497757E-2
1,544612850E+3	2,092980727E-2
1,544612900E+3	1,996296279E-2
1,544612950E+3	1,802927385E-2
1,544613000E+3	1,819041459E-2
1,544613050E+3	1,674014789E-2
1,544613100E+3	1,835155534E-2
1,544613150E+3	1,738471087E-2
1,544613200E+3	1,786813310E-2
1,544613250E+3	1,706242938E-2
1,544613300E+3	1,512874046E-2
1,544613350E+3	1,561216269E-2
1,544613400E+3	1,496759971E-2
1,544613450E+3	1,448417748E-2
1,544613500E+3	1,609558492E-2
1,544613550E+3	1,528988120E-2
1,544613600E+3	1,722357012E-2
1,544613650E+3	1,706242938E-2
1,544613700E+3	1,690128864E-2
1,544613750E+3	1,577330343E-2
1,544613800E+3	1,609558492E-2
1,544613850E+3	1,577330343E-2
1,544613900E+3	1,657900715E-2
1,544613950E+3	1,512874046E-2
1,544614000E+3	1,528988120E-2
1,544614050E+3	1,480645897E-2
1,544614100E+3	1,512874046E-2
1,544614150E+3	1,416189600E-2
1,544614200E+3	1,190592561E-2
1,544614250E+3	1,303391080E-2
1,544614300E+3	1,432303674E-2
1,544614350E+3	1,512874046E-2
1,544614400E+3	1,077794042E-2
1,544614450E+3	1,287277006E-2
1,544614500E+3	1,287277006E-2
1,544614550E+3	1,287277006E-2
1,544614600E+3	1,255048857E-2
1,544614650E+3	1,432303674E-2
1,544614700E+3	1,319505154E-2
1,544614750E+3	1,464531823E-2
1,544614800E+3	1,496759971E-2
1,544614850E+3	1,400075525E-2
1,544614900E+3	1,319505154E-2
1,544614950E+3	1,206706635E-2
1,544615000E+3	1,496759971E-2
1,544615050E+3	1,400075525E-2
1,544615100E+3	1,416189600E-2
1,544615150E+3	1,319505154E-2
1,544615200E+3	1,255048857E-2
1,544615250E+3	1,142250338E-2
1,544615300E+3	1,174478487E-2
1,544615350E+3	1,287277006E-2
1,544615400E+3	1,255048857E-2
1,544615450E+3	1,158364412E-2
1,544615500E+3	1,383961451E-2
1,544615550E+3	1,432303674E-2
1,544615600E+3	1,126136264E-2
1,544615650E+3	1,093908116E-2
1,544615700E+3	1,367847377E-2
1,544615750E+3	1,303391080E-2
1,544615800E+3	1,303391080E-2
1,544615850E+3	1,367847377E-2
1,544615900E+3	1,158364412E-2
1,544615950E+3	1,287277006E-2
1,544616000E+3	1,061679968E-2
1,544616050E+3	1,158364412E-2
1,544616100E+3	1,271162932E-2
1,544616150E+3	1,238934783E-2
1,544616200E+3	1,206706635E-2
1,544616250E+3	1,303391080E-2
1,544616300E+3	1,190592561E-2
1,544616350E+3	1,093908116E-2
1,544616400E+3	1,077794042E-2
1,544616450E+3	1,045565894E-2
1,544616500E+3	1,335619228E-2
1,544616550E+3	1,255048857E-2
1,544616600E+3	1,400075525E-2
1,544616650E+3	1,142250338E-2
1,544616700E+3	1,222820709E-2
1,544616750E+3	1,287277006E-2
1,544616800E+3	1,319505154E-2
1,544616850E+3	1,174478487E-2
1,544616900E+3	1,480645897E-2
1,544616950E+3	1,287277006E-2
1,544617000E+3	1,255048857E-2
1,544617050E+3	1,319505154E-2
1,544617100E+3	1,190592561E-2
